0x004149e7 0x004149e8 
0x0043ed21 0x0043ed23 
0x0047303f 0x00473040 
0x004010f4 0x004010fa 
0x0041be58 0x0041be5b 
0x004017d8 0x004017dd 
0x00401727 0x00401729 
0x004009e7 0x004009ea 
0x00443df4 0x00443df7 
0x0046e6b2 0x0046e6b4 
0x0046b077 0x0046b07d 
0x00400cdb 0x00400cdc 
0x00465dd0 0x00465dd6 
0x0041bdf2 0x0041bdf5 
0x00443ee2 0x00443ee4 
0x00400aa6 0x00400aaa 
0x0049e5b4 0x0049e5c2 
0x00419124 0x00419128 
0x0041361a 0x0041361d 
0x00400adb 0x00400adf 
0x00491cec 0x00491cf3 
0x00415ac5 0x00415ac9 
0x00414f94 0x00414f97 
0x00400cdc 0x00400cdf 
0x00401719 0x00401729 
0x0040f154 0x0040f158 
0x004501a4 0x004501a5 
0x0041c759 0x0041c760 
0x0041bdc8 0x0041bf30 
0x0041c1cb 0x0041c1ce 
0x00400e25 0x00400db3 
0x0040ee08 0x0040ee0c 
0x00426fe3 0x00426fe8 
0x0041f8fb 0x0041f970 0x0041f8fd 
0x00400e73 0x00400e7a 
0x004149ea 0x00413d90 
0x0046e742 0x0046e745 
0x00415aa6 0x00415aa7 
0x0040f3e7 0x0040f3ea 
0x0041915f 0x00419163 
0x00443f88 0x00443f8c 
0x00414a32 0x00414a36 
0x004735fd 0x00473600 
0x00400988 0x0049e490 
0x004437f2 0x004437f5 
0x00443768 0x0044376a 
0x00474c8c 0x00474c8f 
0x0041bbde 0x0041bbdf 
0x0041c297 0x0041c29c 
0x00413da2 0x00413da4 
0x00474cab 0x00474cae 
0x00419150 0x004193e9 
0x0041f985 0x0041f988 
0x004012ce 0x004012d6 
0x0040f2e8 0x0040f2ec 
0x004271d6 0x004271fb 0x004271d8 
0x0049e639 0x0049e63c 
0x00419144 0x00419147 
0x004005fa 0x004005fd 
0x00473452 0x00473458 
0x00443762 0x00443764 
0x0041fcbb 0x0041fcbe 
0x0041913c 0x00419140 
0x00414dcd 0x00414e16 
0x00444064 0x00444068 
0x00415dc4 0x00414a60 
0x00400b23 0x00400b26 
0x00473065 0x00473069 
0x0046e6a0 0x0046e6a1 
0x0041c755 0x0041c757 
0x0041259e 0x00414ecf 
0x00412592 0x00412596 
0x0046b18d 0x00444e60 
0x0041912f 0x00419132 
0x00400ddf 0x00400de3 
0x00413e49 0x00413e4c 
0x004271fe 0x004737ad 0x0047379e 0x0047378c 0x004737bf 0x00413622 0x00474d91 
0x0044376c 0x0044376e 
0x0041c2c6 0x0041c2c9 
0x00414e97 0x00414e99 
0x00413d90 0x00413d92 
0x0040f367 0x0040f36a 
0x0041fc22 0x0041fc25 
0x00414e47 0x00414e49 
0x0044070a 0x0046b2d0 
0x00400f16 0x00400f18 
0x00400c37 0x00400c3b 
0x0040ee81 0x0040ee82 
0x00400a3d 0x00400a41 
0x0041c168 0x0041c16b 
0x0047335a 0x0047335d 
0x0041fcce 0x0041fcd3 
0x0041bbdb 0x0041bbde 
0x004135de 0x004135e2 
0x00400aef 0x00400af4 
0x00419149 0x00419150 
0x0040efb6 0x0040efb7 
0x00424236 0x0042423a 
0x0041fcc4 0x0041fcc8 
0x0041b927 0x0041b92b 
0x00465d87 0x00465d8c 
0x0040ed47 0x0040ed4a 
0x00400bcb 0x00410130 
0x004733a6 0x004733aa 
0x00400ce3 0x00400ce6 
0x004733aa 0x004733ad 
